Timestamp,MicDecibels,ListenDecibels
0,19.09823,0
100,42.69805,59.50419
200,54.73961,56.93107
300,52.02786,57.08505
400,58.81921,57.23282
500,60.77116,56.95185
600,60.63347,57.75041
700,62.95564,56.94084
800,60.70367,56.59437
900,46.29409,58.16917
1000,57.52212,59.35624
1100,38.3111,61.898
1200,38.84548,57.94282
1300,39.44174,56.18405
1400,39.09656,60.34561
1500,49.46698,58.89557
1600,51.65874,58.49678
1700,55.22453,59.54796
1800,60.34254,58.28109
1900,55.62237,61.0366
2000,61.66526,60.79047
2100,63.44203,58.94806
2200,53.96472,59.43833
2300,53.46609,59.1772
2400,64.48251,58.9073
2500,63.83888,59.0929
2600,63.15484,56.87244
2700,51.25512,60.8336
2800,65.6639,59.3038
2900,66.92673,57.59386
3000,39.96183,56.12392
3100,65.76594,59.85594
3200,55.48704,60.13882
3300,65.4215,60.26091
3400,63.2554,61.22616
3500,47.8914,60.63749
3600,64.2355,60.49172
3700,62.83517,57.8726
3800,58.17974,58.9863
3900,64.63726,59.65847
4000,42.0792,59.785
4100,62.53973,58.84214
4200,60.90109,59.62957
4300,59.81891,59.83519
4400,39.42937,57.63512
4500,50.50561,58.86007
4600,65.22153,56.65112
4700,61.5625,58.8978
4800,64.56837,57.87416
4900,62.61532,59.27109
5000,65.04276,59.12549
5100,61.21841,59.69852
5200,58.53897,57.35265
5300,48.92964,57.99078
5400,40.74634,59.67031
5500,40.47762,58.61277
5600,40.49339,60.29871
5700,38.08084,60.51377
5800,68.68957,59.29789
5900,58.37713,60.84697
6000,61.40067,57.80414
6100,54.42499,59.74658
6200,63.62241,58.69672
6300,64.9747,58.46478
6400,46.58875,58.26571
6500,66.9008,57.17676
6600,43.76234,60.05883
6700,50.9482,60.44884
6800,65.97182,57.25295
6900,60.06596,59.09383
7000,56.1983,59.58274
7100,52.26986,58.62598
7200,64.6291,57.25532
7300,47.06158,60.23102
7400,62.14708,57.75423
7500,38.39832,57.05042
7600,62.0179,57.71774
7700,63.08319,59.58079
7800,47.17826,60.18398
7900,62.52819,62.49531
8000,39.49695,59.30698
8100,63.08919,60.00284
8200,61.69031,61.72475
8300,60.43304,60.07123
8400,59.12471,58.0444
8500,57.65305,60.04615
8600,56.3093,60.4182
8700,57.13091,60.19458
8800,60.65114,59.79553
8900,63.69263,60.3479
9000,52.68936,60.22604
9100,60.04235,59.16894
9200,60.61251,60.18908
9300,64.36531,59.60203
9400,41.43503,60.64104
9500,39.03599,60.42764
9600,38.1124,59.27138
9700,38.70514,61.22917
9800,39.7915,58.68877
9900,38.71062,58.96619
10000,39.55447,59.50156
10100,46.9315,58.36643
10200,63.35546,57.80811
10300,60.97345,56.38429
10400,66.53867,58.24281
10500,64.67661,58.93812
10600,65.49483,60.78647
10700,58.5153,59.52036
10800,57.00833,59.43683
10900,39.93298,59.99536
11000,55.51088,59.79219
11100,64.35325,60.08423
11200,56.08429,60.56549
11300,60.43839,59.03837
11400,65.07663,60.21797
11500,63.52045,56.49854
11600,62.63599,59.96958
11700,56.00551,59.49464
11800,62.18249,60.08834
11900,63.06702,58.71508
12000,59.25779,59.79608
12100,65.03597,57.69123
12200,54.33525,57.14004
12300,61.82913,59.41519
12400,58.01922,59.5247
12500,63.18638,58.93797
12600,65.63818,59.74481
12700,63.96349,62.32386
12800,62.39113,59.67303
12900,63.87114,60.87482
13000,65.96716,60.4461
13100,58.0085,59.6635
13200,64.66582,56.07175
13300,63.82826,59.51229
13400,56.87975,59.37598
13500,57.93461,57.79616
13600,40.30777,57.65787
13700,55.98585,57.04527
13800,63.97326,59.49471
13900,60.28048,60.8023
14000,64.24609,59.01963
14100,62.65707,60.35345
14200,61.02137,60.25165
14300,64.73067,60.20679
14400,41.36621,59.68072
14500,63.9805,61.24686
14600,65.56468,58.2523
14700,51.98202,60.72439
14800,56.21579,59.65333
14900,41.60431,59.16924
15000,59.01571,61.4217
15100,43.30223,59.93287
15200,39.54695,59.5931
15300,60.16241,60.89468
15400,65.32507,58.96708
15500,57.88913,59.46169
15600,64.75938,57.66379
15700,65.63197,57.48298
15800,66.08501,60.21387
15900,56.94761,58.01067
16000,64.34369,58.9488
16100,59.59037,58.93985
16200,60.3125,60.4784
16300,65.02011,58.99657
16400,60.10846,58.51378
16500,60.25803,58.99849
16600,61.18073,58.46656
16700,60.55132,59.10504
16800,41.04871,62.04422
16900,53.99501,55.43478
17000,53.08664,54.95776
17100,66.82046,58.5264
17200,71.44421,57.57034
17300,71.97747,59.40546
17400,69.30978,61.11423
17500,71.68829,59.8245
17600,65.73511,59.48891
17700,61.96999,58.24231
17800,43.76862,61.02486
17900,62.7995,61.38422
18000,67.041,61.72283
18100,51.71059,60.72707
18200,56.26125,58.90077
18300,48.43641,58.43724
18400,65.26225,58.83637
18500,65.09959,60.31297
18600,60.87901,58.41179
18700,67.04037,58.27188
18800,61.62943,60.42563
18900,64.53629,60.36154
19000,60.07763,59.96545
19100,66.43609,58.96798
19200,62.87302,60.13814
19300,66.22845,61.36605
19400,57.65929,60.81257
19500,39.42318,60.53184
19600,39.77581,58.21463
19700,57.29679,60.65386
19800,64.51338,59.69903
19900,63.72059,59.92501
20000,68.68362,58.19023
20100,63.16384,59.45052
20200,63.17079,60.00124
20300,67.59162,61.17568
20400,65.77534,61.52375
20500,65.77534,61.52375
20600,58.06133,60.92995
20700,40.87693,59.1194
20800,64.70096,60.13637
20900,65.1505,59.5092
21000,62.23102,61.27232
21100,52.36214,61.17079
21200,62.39737,61.34941
21300,64.11156,59.17534
21400,66.59551,60.0498
21500,63.0717,58.53492
21600,55.13105,58.71214
21700,46.20331,61.04156
21800,46.77864,60.63088
21900,60.06382,59.29471
22000,39.60381,60.97002
22100,57.30159,59.12643
22200,67.19035,56.66104
22300,67.50858,58.30047
22400,64.83083,58.71822
22500,64.48256,56.67891
22600,56.22065,60.05363
22700,60.57347,60.37576
22800,66.03431,57.41822
22900,61.65215,59.39598
